exp,video,segment,frame,path,n_masks,n_masks^3,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim,avg_mask_area,avg_bbox_area,avg_mask_strength,avg_bbox_width,avg_bbox_height,mask_centroid_dist,bbox_centroid_dist,Label,label_LSTM,is_padding
04_07_2024,2024-07-04_11_51_08_772,2,381,04_07_2024/2024-07-04_11_51_08_772/2/381.jpg,3,27,"[178, 177, 377]","[[235.0, 151.0], [227.0, 164.0], [231.0, 156.0]]","[0.40631106, 0.35048467, 0.32580763]","[210.52, 210.25, 209.17]","[0, 0, 0]","[260.0, 221.0, 748.0]","[[236.0, 152.0], [227.0, 165.0], [233.0, 158.0]]","[[13.0, 20.0], [13.0, 17.0], [22.0, 34.0]]",244,409.6666667,209.98,16,16,10.2,10.58,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,382,04_07_2024/2024-07-04_11_51_08_772/2/382.jpg,1,1,[88],"[[241.0, 139.0]]",[0.48584726],[209.98],[0],[96.0],"[[242.0, 140.0]]","[[8.0, 12.0]]",88,96,209.98,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,383,04_07_2024/2024-07-04_11_51_08_772/2/383.jpg,1,1,[88],"[[241.0, 139.0]]",[0.49189025],[209.98],[0],[96.0],"[[242.0, 140.0]]","[[8.0, 12.0]]",88,96,209.98,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,384,04_07_2024/2024-07-04_11_51_08_772/2/384.jpg,1,1,[88],"[[241.0, 139.0]]",[0.48478678],[209.98],[0],[96.0],"[[242.0, 140.0]]","[[8.0, 12.0]]",88,96,209.98,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,385,04_07_2024/2024-07-04_11_51_08_772/2/385.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,416,04_07_2024/2024-07-04_11_51_08_772/2/416.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,417,04_07_2024/2024-07-04_11_51_08_772/2/417.jpg,1,1,[201],"[[230.0, 153.0]]",[0.5463232],[217.62],[0],[220.0],"[[231.0, 154.0]]","[[10.0, 22.0]]",201,220,217.62,10,10,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,418,04_07_2024/2024-07-04_11_51_08_772/2/418.jpg,1,1,[273],"[[232.0, 152.0]]",[0.69107187],[220.96],[0],[336.0],"[[233.0, 153.0]]","[[14.0, 24.0]]",273,336,220.96,14,14,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,2,419,04_07_2024/2024-07-04_11_51_08_772/2/419.jpg,1,1,[273],"[[232.0, 152.0]]",[0.6910459],[220.96],[0],[336.0],"[[233.0, 153.0]]","[[14.0, 24.0]]",273,336,220.96,14,14,0,0,0,0,0
,,0,0,//0/0.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04_07_2024,2024-07-04_11_51_08_772,3,64,04_07_2024/2024-07-04_11_51_08_772/3/64.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,65,04_07_2024/2024-07-04_11_51_08_772/3/65.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,66,04_07_2024/2024-07-04_11_51_08_772/3/66.jpg,2,8,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.43315047, 0.31646964]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]",96.5,106.5,213.58,9,9,107.54,108.08,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,67,04_07_2024/2024-07-04_11_51_08_772/3/67.jpg,2,8,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.4342638, 0.31739944]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]",96.5,106.5,213.58,9,9,107.54,108.08,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,68,04_07_2024/2024-07-04_11_51_08_772/3/68.jpg,2,8,"[58, 135]","[[276.0, 154.0], [177.0, 196.0]]","[0.43898204, 0.3175823]","[199.14, 228.02]","[0, 0]","[70.0, 143.0]","[[277.0, 155.0], [177.0, 196.0]]","[[7.0, 10.0], [11.0, 13.0]]",96.5,106.5,213.58,9,9,107.54,108.08,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,69,04_07_2024/2024-07-04_11_51_08_772/3/69.jpg,1,1,[2120],"[[181.0, 197.0]]",[0.7708636],[224.9],[0],[3021.0],"[[181.0, 198.0]]","[[53.0, 57.0]]",2120,3021,224.9,53,53,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,70,04_07_2024/2024-07-04_11_51_08_772/3/70.jpg,1,1,[1466],"[[179.0, 195.0]]",[0.87480134],[223.83],[0],[1849.0],"[[181.0, 195.0]]","[[43.0, 43.0]]",1466,1849,223.83,43,43,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,71,04_07_2024/2024-07-04_11_51_08_772/3/71.jpg,1,1,[1466],"[[179.0, 195.0]]",[0.8748844],[223.83],[0],[1849.0],"[[181.0, 195.0]]","[[43.0, 43.0]]",1466,1849,223.83,43,43,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,72,04_07_2024/2024-07-04_11_51_08_772/3/72.jpg,1,1,[769],"[[176.0, 190.0]]",[0.8288507],[217.38],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]",769,924,217.38,28,28,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,73,04_07_2024/2024-07-04_11_51_08_772/3/73.jpg,1,1,[769],"[[176.0, 190.0]]",[0.82750326],[217.41],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]",769,924,217.41,28,28,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,74,04_07_2024/2024-07-04_11_51_08_772/3/74.jpg,1,1,[781],"[[177.0, 191.0]]",[0.82755965],[217.11],[0],[924.0],"[[177.0, 191.0]]","[[28.0, 33.0]]",781,924,217.11,28,28,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,75,04_07_2024/2024-07-04_11_51_08_772/3/75.jpg,1,1,[344],"[[170.0, 191.0]]",[0.71345997],[200.67],[0],[440.0],"[[170.0, 192.0]]","[[20.0, 22.0]]",344,440,200.67,20,20,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,76,04_07_2024/2024-07-04_11_51_08_772/3/76.jpg,1,1,[276],"[[173.0, 188.0]]",[0.7637432],[206.38],[0],[312.0],"[[173.0, 188.0]]","[[13.0, 24.0]]",276,312,206.38,13,13,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,77,04_07_2024/2024-07-04_11_51_08_772/3/77.jpg,1,1,[276],"[[173.0, 188.0]]",[0.77110267],[206.02],[0],[312.0],"[[173.0, 188.0]]","[[13.0, 24.0]]",276,312,206.02,13,13,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,78,04_07_2024/2024-07-04_11_51_08_772/3/78.jpg,3,27,"[463, 269, 163]","[[166.0, 196.0], [171.0, 193.0], [173.0, 193.0]]","[0.55195934, 0.48261037, 0.4478361]","[190.62, 191.88, 196.27]","[0, 0, 0]","[713.0, 320.0, 190.0]","[[165.0, 195.0], [171.0, 193.0], [174.0, 194.0]]","[[31.0, 23.0], [16.0, 20.0], [10.0, 19.0]]",298.3333333,407.6666667,192.9233333,19,19,5.15,6.18,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,79,04_07_2024/2024-07-04_11_51_08_772/3/79.jpg,3,27,"[466, 298, 165]","[[166.0, 196.0], [171.0, 193.0], [173.0, 193.0]]","[0.56864023, 0.48653755, 0.45114648]","[190.57, 192.15, 196.17]","[0, 0, 0]","[713.0, 360.0, 209.0]","[[165.0, 195.0], [171.0, 193.0], [174.0, 194.0]]","[[31.0, 23.0], [18.0, 20.0], [11.0, 19.0]]",309.6666667,427.3333333,192.9633333,20,20,5.15,6.18,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,80,04_07_2024/2024-07-04_11_51_08_772/3/80.jpg,3,27,"[466, 300, 165]","[[166.0, 196.0], [170.0, 193.0], [173.0, 193.0]]","[0.56971043, 0.48113546, 0.4451689]","[190.55, 192.03, 196.15]","[0, 0, 0]","[713.0, 360.0, 209.0]","[[165.0, 195.0], [170.0, 193.0], [174.0, 194.0]]","[[31.0, 23.0], [18.0, 20.0], [11.0, 19.0]]",310.3333333,427.3333333,192.91,20,20,5.21,6.19,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,81,04_07_2024/2024-07-04_11_51_08_772/3/81.jpg,1,1,[85],"[[173.0, 193.0]]",[0.4386768],[180.93],[0],[96.0],"[[174.0, 193.0]]","[[8.0, 12.0]]",85,96,180.93,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,82,04_07_2024/2024-07-04_11_51_08_772/3/82.jpg,1,1,[137],"[[174.0, 189.0]]",[0.57709104],[197.45],[0],[150.0],"[[175.0, 190.0]]","[[10.0, 15.0]]",137,150,197.45,10,10,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,83,04_07_2024/2024-07-04_11_51_08_772/3/83.jpg,1,1,[137],"[[174.0, 189.0]]",[0.57947356],[197.45],[0],[150.0],"[[175.0, 190.0]]","[[10.0, 15.0]]",137,150,197.45,10,10,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,84,04_07_2024/2024-07-04_11_51_08_772/3/84.jpg,1,1,[195],"[[172.0, 194.0]]",[0.6543869],[177.43],[0],[238.0],"[[172.0, 194.0]]","[[17.0, 14.0]]",195,238,177.43,17,17,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,85,04_07_2024/2024-07-04_11_51_08_772/3/85.jpg,1,1,[196],"[[172.0, 194.0]]",[0.6509196],[177.51],[0],[238.0],"[[172.0, 194.0]]","[[17.0, 14.0]]",196,238,177.51,17,17,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,86,04_07_2024/2024-07-04_11_51_08_772/3/86.jpg,1,1,[194],"[[172.0, 194.0]]",[0.64417374],[177.53],[0],[238.0],"[[172.0, 194.0]]","[[17.0, 14.0]]",194,238,177.53,17,17,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,87,04_07_2024/2024-07-04_11_51_08_772/3/87.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,88,04_07_2024/2024-07-04_11_51_08_772/3/88.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,89,04_07_2024/2024-07-04_11_51_08_772/3/89.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,90,04_07_2024/2024-07-04_11_51_08_772/3/90.jpg,1,1,[126],"[[175.0, 196.0]]",[0.36993417],[194.99],[0],[126.0],"[[176.0, 196.0]]","[[9.0, 14.0]]",126,126,194.99,9,9,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,91,04_07_2024/2024-07-04_11_51_08_772/3/91.jpg,1,1,[136],"[[175.0, 195.0]]",[0.36578876],[193.84],[0],[140.0],"[[176.0, 196.0]]","[[10.0, 14.0]]",136,140,193.84,10,10,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,92,04_07_2024/2024-07-04_11_51_08_772/3/92.jpg,1,1,[127],"[[175.0, 196.0]]",[0.3538817],[194.72],[0],[126.0],"[[175.0, 196.0]]","[[9.0, 14.0]]",127,126,194.72,9,9,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,93,04_07_2024/2024-07-04_11_51_08_772/3/93.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,94,04_07_2024/2024-07-04_11_51_08_772/3/94.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,95,04_07_2024/2024-07-04_11_51_08_772/3/95.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,96,04_07_2024/2024-07-04_11_51_08_772/3/96.jpg,1,1,[109],"[[171.0, 193.0]]",[0.59007835],[180.69],[0],[104.0],"[[171.0, 193.0]]","[[8.0, 13.0]]",109,104,180.69,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,97,04_07_2024/2024-07-04_11_51_08_772/3/97.jpg,1,1,[110],"[[171.0, 193.0]]",[0.6009884],[181.56],[0],[104.0],"[[171.0, 193.0]]","[[8.0, 13.0]]",110,104,181.56,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,98,04_07_2024/2024-07-04_11_51_08_772/3/98.jpg,1,1,[88],"[[171.0, 193.0]]",[0.5956414],[183.56],[0],[104.0],"[[171.0, 193.0]]","[[8.0, 13.0]]",88,104,183.56,8,8,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,99,04_07_2024/2024-07-04_11_51_08_772/3/99.jpg,1,1,[318],"[[168.0, 196.0]]",[0.69681627],[202.4],[0],[437.0],"[[170.0, 198.0]]","[[19.0, 23.0]]",318,437,202.4,19,19,0,0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,100,04_07_2024/2024-07-04_11_51_08_772/3/100.jpg,0,0,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0
