exp,video,segment,SubSegment,frame,path,n_masks,n_masks^3,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim,avg_mask_area,avg_bbox_area,avg_mask_strength,avg_bbox_width,avg_bbox_height,mask_centroid_dist,bbox_centroid_dist,Label,label_LSTM,is_padding
04_07_2024,2024-07-04_11_51_08_772,3,1.0,79,04_07_2024/2024-07-04_11_51_08_772/3/79.jpg,3,27.0,"[466, 298, 165]","[[166.0, 196.0], [171.0, 193.0], [173.0, 193.0]]","[0.56864023, 0.48653755, 0.45114648]","[190.57, 192.15, 196.17]","[0, 0, 0]","[713.0, 360.0, 209.0]","[[165.0, 195.0], [171.0, 193.0], [174.0, 194.0]]","[[31.0, 23.0], [18.0, 20.0], [11.0, 19.0]]",309.6666667,427.3333333,192.9633333,20.0,20.0,5.15,6.18,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,80,04_07_2024/2024-07-04_11_51_08_772/3/80.jpg,3,27.0,"[466, 300, 165]","[[166.0, 196.0], [170.0, 193.0], [173.0, 193.0]]","[0.56971043, 0.48113546, 0.4451689]","[190.55, 192.03, 196.15]","[0, 0, 0]","[713.0, 360.0, 209.0]","[[165.0, 195.0], [170.0, 193.0], [174.0, 194.0]]","[[31.0, 23.0], [18.0, 20.0], [11.0, 19.0]]",310.3333333,427.3333333,192.91,20.0,20.0,5.21,6.19,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,81,04_07_2024/2024-07-04_11_51_08_772/3/81.jpg,1,1.0,[85],"[[173.0, 193.0]]",[0.4386768],[180.93],[0],[96.0],"[[174.0, 193.0]]","[[8.0, 12.0]]",85.0,96.0,180.93,8.0,8.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,82,04_07_2024/2024-07-04_11_51_08_772/3/82.jpg,1,1.0,[137],"[[174.0, 189.0]]",[0.57709104],[197.45],[0],[150.0],"[[175.0, 190.0]]","[[10.0, 15.0]]",137.0,150.0,197.45,10.0,10.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,83,04_07_2024/2024-07-04_11_51_08_772/3/83.jpg,1,1.0,[137],"[[174.0, 189.0]]",[0.57947356],[197.45],[0],[150.0],"[[175.0, 190.0]]","[[10.0, 15.0]]",137.0,150.0,197.45,10.0,10.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,84,04_07_2024/2024-07-04_11_51_08_772/3/84.jpg,1,1.0,[195],"[[172.0, 194.0]]",[0.6543869],[177.43],[0],[238.0],"[[172.0, 194.0]]","[[17.0, 14.0]]",195.0,238.0,177.43,17.0,17.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,85,04_07_2024/2024-07-04_11_51_08_772/3/85.jpg,1,1.0,[196],"[[172.0, 194.0]]",[0.6509196],[177.51],[0],[238.0],"[[172.0, 194.0]]","[[17.0, 14.0]]",196.0,238.0,177.51,17.0,17.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,86,04_07_2024/2024-07-04_11_51_08_772/3/86.jpg,1,1.0,[194],"[[172.0, 194.0]]",[0.64417374],[177.53],[0],[238.0],"[[172.0, 194.0]]","[[17.0, 14.0]]",194.0,238.0,177.53,17.0,17.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,87,04_07_2024/2024-07-04_11_51_08_772/3/87.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,88,04_07_2024/2024-07-04_11_51_08_772/3/88.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,89,04_07_2024/2024-07-04_11_51_08_772/3/89.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,90,04_07_2024/2024-07-04_11_51_08_772/3/90.jpg,1,1.0,[126],"[[175.0, 196.0]]",[0.36993417],[194.99],[0],[126.0],"[[176.0, 196.0]]","[[9.0, 14.0]]",126.0,126.0,194.99,9.0,9.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,91,04_07_2024/2024-07-04_11_51_08_772/3/91.jpg,1,1.0,[136],"[[175.0, 195.0]]",[0.36578876],[193.84],[0],[140.0],"[[176.0, 196.0]]","[[10.0, 14.0]]",136.0,140.0,193.84,10.0,10.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,92,04_07_2024/2024-07-04_11_51_08_772/3/92.jpg,1,1.0,[127],"[[175.0, 196.0]]",[0.3538817],[194.72],[0],[126.0],"[[175.0, 196.0]]","[[9.0, 14.0]]",127.0,126.0,194.72,9.0,9.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,93,04_07_2024/2024-07-04_11_51_08_772/3/93.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,94,04_07_2024/2024-07-04_11_51_08_772/3/94.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,95,04_07_2024/2024-07-04_11_51_08_772/3/95.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,96,04_07_2024/2024-07-04_11_51_08_772/3/96.jpg,1,1.0,[109],"[[171.0, 193.0]]",[0.59007835],[180.69],[0],[104.0],"[[171.0, 193.0]]","[[8.0, 13.0]]",109.0,104.0,180.69,8.0,8.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,97,04_07_2024/2024-07-04_11_51_08_772/3/97.jpg,1,1.0,[110],"[[171.0, 193.0]]",[0.6009884],[181.56],[0],[104.0],"[[171.0, 193.0]]","[[8.0, 13.0]]",110.0,104.0,181.56,8.0,8.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,98,04_07_2024/2024-07-04_11_51_08_772/3/98.jpg,1,1.0,[88],"[[171.0, 193.0]]",[0.5956414],[183.56],[0],[104.0],"[[171.0, 193.0]]","[[8.0, 13.0]]",88.0,104.0,183.56,8.0,8.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,99,04_07_2024/2024-07-04_11_51_08_772/3/99.jpg,1,1.0,[318],"[[168.0, 196.0]]",[0.69681627],[202.4],[0],[437.0],"[[170.0, 198.0]]","[[19.0, 23.0]]",318.0,437.0,202.4,19.0,19.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,100,04_07_2024/2024-07-04_11_51_08_772/3/100.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,101,04_07_2024/2024-07-04_11_51_08_772/3/101.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,102,04_07_2024/2024-07-04_11_51_08_772/3/102.jpg,2,8.0,"[81, 183]","[[145.0, 216.0], [168.0, 197.0]]","[0.43174368, 0.31356472]","[188.75, 179.35]","[0, 0]","[99.0, 220.0]","[[146.0, 217.0], [168.0, 198.0]]","[[9.0, 11.0], [22.0, 10.0]]",132.0,159.5,184.05,15.5,15.5,29.83,29.07,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,103,04_07_2024/2024-07-04_11_51_08_772/3/103.jpg,2,8.0,"[81, 186]","[[145.0, 216.0], [167.0, 197.0]]","[0.44729945, 0.34486705]","[188.65, 179.13]","[0, 0]","[99.0, 220.0]","[[146.0, 217.0], [168.0, 198.0]]","[[9.0, 11.0], [22.0, 10.0]]",133.5,159.5,183.89,15.5,15.5,29.07,29.07,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,104,04_07_2024/2024-07-04_11_51_08_772/3/104.jpg,2,8.0,"[82, 183]","[[145.0, 216.0], [168.0, 197.0]]","[0.45888978, 0.36463112]","[188.63, 178.75]","[0, 0]","[99.0, 220.0]","[[146.0, 217.0], [168.0, 198.0]]","[[9.0, 11.0], [22.0, 10.0]]",132.5,159.5,183.69,15.5,15.5,29.83,29.07,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,105,04_07_2024/2024-07-04_11_51_08_772/3/105.jpg,2,8.0,"[84, 110]","[[261.0, 195.0], [145.0, 213.0]]","[0.6906272, 0.588145]","[196.71, 190.69]","[0, 0]","[90.0, 110.0]","[[261.0, 196.0], [146.0, 213.0]]","[[9.0, 10.0], [10.0, 11.0]]",97.0,100.0,193.7,9.5,9.5,117.39,116.25,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,106,04_07_2024/2024-07-04_11_51_08_772/3/106.jpg,2,8.0,"[160, 68]","[[173.0, 194.0], [146.0, 215.0]]","[0.63510007, 0.4736343]","[192.97, 188.49]","[0, 0]","[168.0, 64.0]","[[174.0, 195.0], [147.0, 215.0]]","[[12.0, 14.0], [8.0, 8.0]]",114.0,116.0,190.73,10.0,10.0,34.21,33.6,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,107,04_07_2024/2024-07-04_11_51_08_772/3/107.jpg,2,8.0,"[160, 68]","[[173.0, 194.0], [146.0, 215.0]]","[0.63519126, 0.47354835]","[192.97, 188.49]","[0, 0]","[168.0, 64.0]","[[174.0, 195.0], [147.0, 215.0]]","[[12.0, 14.0], [8.0, 8.0]]",114.0,116.0,190.73,10.0,10.0,34.21,33.6,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,108,04_07_2024/2024-07-04_11_51_08_772/3/108.jpg,2,8.0,"[119, 87]","[[174.0, 192.0], [146.0, 215.0]]","[0.5857732, 0.49215266]","[196.16, 189.69]","[0, 0]","[140.0, 90.0]","[[174.0, 193.0], [147.0, 215.0]]","[[10.0, 14.0], [10.0, 9.0]]",103.0,115.0,192.925,10.0,10.0,36.24,34.83,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,109,04_07_2024/2024-07-04_11_51_08_772/3/109.jpg,2,8.0,"[119, 87]","[[174.0, 192.0], [146.0, 215.0]]","[0.59355223, 0.48847896]","[196.21, 189.67]","[0, 0]","[140.0, 90.0]","[[174.0, 193.0], [147.0, 215.0]]","[[10.0, 14.0], [10.0, 9.0]]",103.0,115.0,192.94,10.0,10.0,36.24,34.83,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,110,04_07_2024/2024-07-04_11_51_08_772/3/110.jpg,2,8.0,"[119, 87]","[[174.0, 192.0], [146.0, 215.0]]","[0.5970158, 0.48067328]","[196.17, 189.67]","[0, 0]","[140.0, 90.0]","[[174.0, 193.0], [147.0, 215.0]]","[[10.0, 14.0], [10.0, 9.0]]",103.0,115.0,192.92,10.0,10.0,36.24,34.83,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,111,04_07_2024/2024-07-04_11_51_08_772/3/111.jpg,2,8.0,"[123, 66]","[[145.0, 216.0], [174.0, 194.0]]","[0.63019335, 0.30615866]","[189.39, 184.06]","[0, 0]","[144.0, 88.0]","[[145.0, 216.0], [174.0, 195.0]]","[[12.0, 12.0], [8.0, 11.0]]",94.5,116.0,186.725,10.0,10.0,36.4,35.81,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,112,04_07_2024/2024-07-04_11_51_08_772/3/112.jpg,2,8.0,"[211, 88]","[[168.0, 196.0], [146.0, 215.0]]","[0.70948666, 0.48444143]","[200.04, 202.31]","[0, 0]","[234.0, 100.0]","[[168.0, 196.0], [146.0, 216.0]]","[[18.0, 13.0], [10.0, 10.0]]",149.5,167.0,201.175,14.0,14.0,29.07,29.73,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,113,04_07_2024/2024-07-04_11_51_08_772/3/113.jpg,2,8.0,"[211, 88]","[[168.0, 196.0], [146.0, 215.0]]","[0.7082304, 0.4848022]","[200.04, 202.31]","[0, 0]","[234.0, 100.0]","[[168.0, 196.0], [146.0, 216.0]]","[[18.0, 13.0], [10.0, 10.0]]",149.5,167.0,201.175,14.0,14.0,29.07,29.73,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,114,04_07_2024/2024-07-04_11_51_08_772/3/114.jpg,2,8.0,"[85, 94]","[[173.0, 193.0], [145.0, 215.0]]","[0.6040875, 0.57719284]","[201.04, 200.44]","[0, 0]","[91.0, 100.0]","[[173.0, 193.0], [146.0, 216.0]]","[[7.0, 13.0], [10.0, 10.0]]",89.5,95.5,200.74,8.5,8.5,35.61,35.47,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,115,04_07_2024/2024-07-04_11_51_08_772/3/115.jpg,2,8.0,"[85, 93]","[[173.0, 193.0], [145.0, 215.0]]","[0.5955974, 0.58285135]","[201.06, 200.72]","[0, 0]","[91.0, 100.0]","[[173.0, 193.0], [146.0, 216.0]]","[[7.0, 13.0], [10.0, 10.0]]",89.0,95.5,200.89,8.5,8.5,35.61,35.47,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,116,04_07_2024/2024-07-04_11_51_08_772/3/116.jpg,2,8.0,"[93, 93]","[[145.0, 215.0], [173.0, 192.0]]","[0.59292996, 0.59233016]","[200.59, 199.68]","[0, 0]","[100.0, 91.0]","[[146.0, 216.0], [173.0, 193.0]]","[[10.0, 10.0], [7.0, 13.0]]",93.0,95.5,200.135,8.5,8.5,36.24,35.47,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,117,04_07_2024/2024-07-04_11_51_08_772/3/117.jpg,2,8.0,"[116, 74]","[[145.0, 215.0], [174.0, 193.0]]","[0.66331273, 0.39313155]","[201.47, 188.12]","[0, 0]","[132.0, 90.0]","[[145.0, 216.0], [174.0, 193.0]]","[[12.0, 11.0], [9.0, 10.0]]",95.0,111.0,194.795,10.5,10.5,36.4,37.01,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,118,04_07_2024/2024-07-04_11_51_08_772/3/118.jpg,2,8.0,"[222, 150]","[[169.0, 194.0], [144.0, 216.0]]","[0.68105364, 0.64110035]","[195.52, 202.27]","[0, 0]","[252.0, 195.0]","[[169.0, 195.0], [145.0, 217.0]]","[[18.0, 14.0], [13.0, 15.0]]",186.0,223.5,198.895,15.5,15.5,33.3,32.56,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,119,04_07_2024/2024-07-04_11_51_08_772/3/119.jpg,2,8.0,"[222, 150]","[[169.0, 194.0], [144.0, 216.0]]","[0.68038625, 0.64132684]","[195.52, 202.27]","[0, 0]","[252.0, 195.0]","[[169.0, 195.0], [145.0, 217.0]]","[[18.0, 14.0], [13.0, 15.0]]",186.0,223.5,198.895,15.5,15.5,33.3,32.56,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,120,04_07_2024/2024-07-04_11_51_08_772/3/120.jpg,1,1.0,[63],"[[147.0, 214.0]]",[0.5441411],[187.34],[0],[70.0],"[[147.0, 214.0]]","[[7.0, 10.0]]",63.0,70.0,187.34,7.0,7.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,121,04_07_2024/2024-07-04_11_51_08_772/3/121.jpg,1,1.0,[61],"[[147.0, 214.0]]",[0.5100318],[187.75],[0],[70.0],"[[147.0, 214.0]]","[[7.0, 10.0]]",61.0,70.0,187.75,7.0,7.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,122,04_07_2024/2024-07-04_11_51_08_772/3/122.jpg,1,1.0,[60],"[[147.0, 214.0]]",[0.516702],[187.19],[0],[70.0],"[[147.0, 214.0]]","[[7.0, 10.0]]",60.0,70.0,187.19,7.0,7.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,123,04_07_2024/2024-07-04_11_51_08_772/3/123.jpg,1,1.0,[237],"[[142.0, 219.0]]",[0.744192],[194.63],[0],[323.0],"[[142.0, 220.0]]","[[17.0, 19.0]]",237.0,323.0,194.63,17.0,17.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,124,04_07_2024/2024-07-04_11_51_08_772/3/124.jpg,1,1.0,[109],"[[172.0, 196.0]]",[0.58996415],[185.47],[0],[120.0],"[[173.0, 196.0]]","[[10.0, 12.0]]",109.0,120.0,185.47,10.0,10.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,125,04_07_2024/2024-07-04_11_51_08_772/3/125.jpg,1,1.0,[109],"[[172.0, 196.0]]",[0.5910293],[185.47],[0],[120.0],"[[173.0, 196.0]]","[[10.0, 12.0]]",109.0,120.0,185.47,10.0,10.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,126,04_07_2024/2024-07-04_11_51_08_772/3/126.jpg,2,8.0,"[556, 134]","[[167.0, 201.0], [177.0, 200.0]]","[0.5603997, 0.40300205]","[184.84, 189.03]","[0, 0]","[651.0, 171.0]","[[167.0, 202.0], [178.0, 201.0]]","[[31.0, 21.0], [9.0, 19.0]]",345.0,411.0,186.935,20.0,20.0,10.05,11.05,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,127,04_07_2024/2024-07-04_11_51_08_772/3/127.jpg,2,8.0,"[576, 211]","[[167.0, 201.0], [175.0, 201.0]]","[0.5982842, 0.4078029]","[185.0, 186.01]","[0, 0]","[630.0, 240.0]","[[167.0, 202.0], [176.0, 201.0]]","[[30.0, 21.0], [12.0, 20.0]]",393.5,435.0,185.505,21.0,21.0,8.0,9.06,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,128,04_07_2024/2024-07-04_11_51_08_772/3/128.jpg,2,8.0,"[579, 156]","[[167.0, 201.0], [177.0, 201.0]]","[0.5929501, 0.40684292]","[185.24, 187.99]","[0, 0]","[682.0, 180.0]","[[167.0, 202.0], [177.0, 201.0]]","[[31.0, 22.0], [9.0, 20.0]]",367.5,431.0,186.615,20.0,20.0,10.0,10.05,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,129,04_07_2024/2024-07-04_11_51_08_772/3/129.jpg,2,8.0,"[90, 120]","[[274.0, 151.0], [161.0, 199.0]]","[0.58860916, 0.50103897]","[189.83, 188.18]","[0, 0]","[117.0, 132.0]","[[274.0, 152.0], [161.0, 200.0]]","[[9.0, 13.0], [12.0, 11.0]]",105.0,124.5,189.005,10.5,10.5,122.77,122.77,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,130,04_07_2024/2024-07-04_11_51_08_772/3/130.jpg,1,1.0,[89],"[[273.0, 149.0]]",[0.5455036],[193.25],[0],[96.0],"[[273.0, 150.0]]","[[8.0, 12.0]]",89.0,96.0,193.25,8.0,8.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,131,04_07_2024/2024-07-04_11_51_08_772/3/131.jpg,1,1.0,[88],"[[273.0, 149.0]]",[0.53616136],[193.42],[0],[96.0],"[[273.0, 150.0]]","[[8.0, 12.0]]",88.0,96.0,193.42,8.0,8.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,132,04_07_2024/2024-07-04_11_51_08_772/3/132.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,220,04_07_2024/2024-07-04_11_51_08_772/3/220.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,221,04_07_2024/2024-07-04_11_51_08_772/3/221.jpg,0,0.0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,222,04_07_2024/2024-07-04_11_51_08_772/3/222.jpg,2,8.0,"[550, 109]","[[182.0, 196.0], [262.0, 190.0]]","[0.7887427, 0.6450167]","[193.54, 196.08]","[0, 0]","[780.0, 108.0]","[[183.0, 196.0], [263.0, 191.0]]","[[26.0, 30.0], [9.0, 12.0]]",329.5,444.0,194.81,17.5,17.5,80.22,80.16,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,223,04_07_2024/2024-07-04_11_51_08_772/3/223.jpg,2,8.0,"[552, 109]","[[182.0, 196.0], [262.0, 190.0]]","[0.7869375, 0.644842]","[193.53, 196.08]","[0, 0]","[780.0, 108.0]","[[183.0, 196.0], [263.0, 191.0]]","[[26.0, 30.0], [9.0, 12.0]]",330.5,444.0,194.805,17.5,17.5,80.22,80.16,0,0,0
04_07_2024,2024-07-04_11_51_08_772,3,1.0,224,04_07_2024/2024-07-04_11_51_08_772/3/224.jpg,2,8.0,"[105, 60]","[[261.0, 191.0], [197.0, 212.0]]","[0.6582276, 0.416469]","[206.32, 203.66]","[0, 0]","[120.0, 63.0]","[[262.0, 191.0], [197.0, 212.0]]","[[10.0, 12.0], [7.0, 9.0]]",82.5,91.5,204.99,8.5,8.5,67.36,68.31,0,0,0
